SectionID,CourseCode,CourseTitle,TermCode,TermID,StartDate,EndDate,Days,SectionStatus,RoomName,PrimaryInstructor,PrimaryPayment,SecondaryInstructor,SecondaryPayment
10037,LAT-201,Intermediate Latin I,FA11,130,10/3/2011,12/12/2011,Mon,AC,Cannae,O. LIVIUS,1485,,
10038,LAT-301,Advanced Latin I,FA11,130,10/3/2011,12/12/2011,Mon,CN,,S. TATIUS,985,G. TATIUS,500
10039,LAT-101,Beginner I,FA11,130,10/4/2011,12/13/2011,Tue,AC,Rome,F. JUNIUS,1485,,
10040,LAT-201,Intermediate Latin I,FA11,130,10/4/2011,12/13/2011,Tue,CN,,P. AURELIUS,1485,,
10041,LAT-202,Intermediate Latin II,FA11,130,10/4/2011,12/13/2011,Tue,AC,Rome,P. AURELIUS,1485,,
10042,LAT-102,Beginner II,FA11,130,10/4/2011,12/13/2011,Tue,AC,Cannae,F. JUNIUS,1485,,
10043,LAT-317,Conversation II - Morning,FA11,130,10/4/2011,12/6/2011,Tue,AC,Alexandria,G. LUCIANUS,1035,,
10044,LAT-121,Latin for You,FA11,130,10/5/2011,12/14/2011,Wed,AC,Antioch,G. LUCIANUS,1485,,
10045,LAT-101,Beginner I,FA11,130,10/5/2011,12/14/2011,Wed,AC,Rome,C. CORNELIUS,1485,,
10046,LAT-102,Beginner II,FA11,130,10/5/2011,12/14/2011,Wed,AC,Cannae,L. MARIUS,1485,,
10047,LAT-302,Advanced Latin II,FA11,130,10/5/2011,12/14/2011,Wed,CN,,G. LUCIANUS,1485,,
10048,LAT-303,Advanced Latin III,FA11,130,10/5/2011,12/14/2011,Wed,AC,Alexandria,V. SERGIUS,1485,,
10049,LAT-460,Songs,FA11,130,10/5/2011,12/7/2011,Mon,AC,Antioch,C. CORNELIUS,1350,,
10050,LAT-103,Beginner Conversation,FA11,130,10/1/2011,12/10/2011,Sat,AC,Alexandria,P. AURELIUS,1125,,
10050,LAT-103,Beginner Conversation,FA11,130,10/1/2011,12/10/2011,Sat,AC,Alexandria,,,,
10051,LAT-203,Conversation II,FA11,130,10/1/2011,12/10/2011,Sat,AC,Antioch,N. POMPONIUS,1125,,
10052,LAT-304,Advanced Conversation and Grammar,FA11,130,10/1/2011,12/17/2011,Sat,CN,,S. TATIUS,985,G. TATIUS,500
10053,LAT-101,Beginner I,FA11,130,10/1/2011,12/17/2011,Sat,AC,Rome,G. LUCIANUS,1485,,
10054,LAT-102,Beginner II,FA11,130,10/1/2011,12/17/2011,Sat,AC,Cannae,O. LIVIUS,1485,,
10055,LAT-201,Intermediate Latin I,FA11,130,10/1/2011,12/17/2011,Sat,AC,Rome,G. LUCIANUS,1485,,
10056,LAT-202,Intermediate Latin II,FA11,130,10/1/2011,12/17/2011,Sat,AC,Cannae,O. LIVIUS,1485,,
10057,LAT-301,Advanced Latin I,FA11,130,10/1/2011,12/17/2011,Sat,AC,Antioch,P. AURELIUS,1485,,
10058,LAT-302,Advanced Latin II,FA11,130,10/1/2011,12/17/2011,Sat,CN,,S. TATIUS,1485,,
10059,LAT-303,Advanced Latin III,FA11,130,10/1/2011,12/17/2011,Sat,CN,,N. POMPONIUS,1485,,
10060,LAT-455,Singing and Talking,FA11,130,10/1/2011,12/10/2011,Sat,AC,Alexandria,D. ROMILIUS,1350,,
10065,LAT-115,Parent and Me,FA11,130,10/6/2011,12/15/2011,Thu,AC,,S. CAELIUS,,,
10066,LAT-116,"Learning Latin through Art, Games and Music",FA11,130,10/5/2011,12/14/2011,Wed,AC,,P. AURELIUS,,,
10067,LAT-103,Beginner Conversation,WI12,140,1/9/2012,3/26/2012,Mon,AC,Alexandria,O. LIVIUS,1125,,
10068,LAT-203,Conversation II,WI12,140,1/9/2012,3/26/2012,Mon,AC,Antioch,S. TATIUS,1125,,
10069,LAT-314,Difficult Latin,WI12,140,1/9/2012,4/2/2012,Mon,AC,Rome,C. CORNELIUS,,,
10070,LAT-102,Beginner II,WI12,140,1/9/2012,4/2/2012,Mon,AC,Cannae,N. AFRICANUS,1485,,
10071,LAT-117,Beginner I - Session B,WI12,140,1/9/2012,4/2/2012,Mon,AC,Rome,O. LIVIUS,1485,,
10072,LAT-201,Intermediate Latin I,WI12,140,1/9/2012,4/2/2012,Mon,AC,Carthage,N. AFRICANUS,1485,,
10073,LAT-202,Intermediate Latin II,WI12,140,1/9/2012,4/2/2012,Mon,AC,Cannae,S. TATIUS,1485,,
10074,LAT-418,Speaking and Singing in Latin,WI12,140,1/23/2012,12/23/2012,Mon,AC,,D. ROMILIUS,108,,
10075,LAT-445,Latin Culture and Conversation,WI12,140,1/10/2012,3/13/2012,Tue,AC,Alexandria,G. LUCIANUS,1350,,
10076,LAT-101,Beginner I,WI12,140,1/10/2012,3/20/2012,Tue,AC,Rome,P. AURELIUS,1485,,
10077,LAT-201,Intermediate Latin I,WI12,140,1/17/2012,3/27/2012,Tue,AC,Cannae,D. ROMILIUS,1485,,
10078,LAT-102,Beginner II,WI12,140,1/10/2012,3/20/2012,Tue,AC,Cannae,P. AURELIUS,1485,,
10079,LAT-207,Grammar Pills,WI12,140,1/10/2012,3/20/2012,Tue,CN,Alexandria,G. LUCIANUS,1485,,
10080,LAT-444,Latin Through Fashion,WI12,140,1/24/2012,3/27/2012,Tue,CN,Rome,D. ROMILIUS,,,
10081,LAT-121,Latin for You,WI12,140,1/4/2012,3/14/2012,Wed,AC,Antioch,C. CORNELIUS,1485,,
10082,LAT-314,Difficult Latin,WI12,140,1/4/2012,3/14/2012,Wed,AC,Rome,G. LUCIANUS,,,
10083,LAT-201,Intermediate Latin I,WI12,140,1/4/2012,3/14/2012,Wed,AC,Alexandria,S. CAELIUS,1485,,
10084,LAT-102,Beginner II,WI12,140,1/4/2012,3/14/2012,Wed,AC,Cannae,O. LIVIUS,1485,,
10085,LAT-302,Advanced Latin II,WI12,140,1/4/2012,3/14/2012,Wed,AC,Carthage,L. MARIUS,1485,,
10086,LAT-202,Intermediate Latin II,WI12,140,1/4/2012,3/14/2012,Wed,AC,Cannae,S. CAELIUS,1485,,
10087,LAT-430,Roman History,WI12,140,1/4/2012,2/22/2012,Wed,AC,Antioch,G. LUCIANUS,1080,,
10088,LAT-117,Beginner I - Session B,WI12,140,1/4/2012,3/14/2012,Wed,AC,Rome,O. LIVIUS,1485,,
10089,LAT-103,Beginner Conversation,WI12,140,1/7/2012,3/10/2012,Sat,AC,Alexandria,P. AURELIUS,1125,,
10090,LAT-203,Conversation II,WI12,140,1/7/2012,3/10/2012,Sat,CN,Antioch,N. POMPONIUS,1125,,
10091,LAT-304,Advanced Conversation and Grammar,WI12,140,1/7/2012,3/17/2012,Sat,AC,Carthage,,,,
10092,LAT-304,Advanced Conversation and Grammar,WI12,140,1/7/2012,3/17/2012,Sat,AC,Carthage,L. BALBUS,1485,,
10093,LAT-102,Beginner II,WI12,140,1/7/2012,3/17/2012,Sat,AC,Rome,G. LUCIANUS,1485,,
10094,LAT-301,Advanced Latin I,WI12,140,1/7/2012,3/17/2012,Sat,AC,Cannae,S. TATIUS,1485,,
10095,LAT-202,Intermediate Latin II,WI12,140,1/7/2012,3/17/2012,Sat,AC,Cannae,G. LUCIANUS,1485,,
10096,LAT-101,Beginner I,WI12,140,1/7/2012,3/17/2012,Sat,AC,Rome,P. AURELIUS,1485,,
10097,LAT-201,Intermediate Latin I,WI12,140,1/7/2012,3/17/2012,Sat,CN,Carthage,S. TATIUS,1485,,
10098,LAT-478,Bonnus Appetitus,WI12,140,1/7/2012,3/17/2012,Sat,AC,Antioch,N. POMPONIUS,1485,,
10099,LAT-455,Singing and Talking,WI12,140,1/21/2012,3/31/2012,Sat,AC,Alexandria,D. ROMILIUS,1350,,
10100,LAT-115,Parent and Me,WI12,140,1/5/2012,3/8/2012,Thu,AC,,N. POMPONIUS,900,,
10101,LAT-116,"Learning Latin through Art, Games and Music",WI12,140,2/1/2012,4/11/2012,Wed,AC,,P. AURELIUS,1800,,
10102,LAT-103,Beginner Conversation,SP12,150,4/9/2012,6/18/2012,Mon,AC,Alexandria,O. LIVIUS,1125,,
10103,LAT-203,Conversation II,SP12,150,4/9/2012,6/18/2012,Mon,AC,Antioch,S. TATIUS,1125,,
10104,LAT-314,Difficult Latin,SP12,150,4/9/2012,6/25/2012,Mon,AC,Rome,G. LUCIANUS,,,
10105,LAT-202,Intermediate Latin II,SP12,150,4/9/2012,6/25/2012,Mon,AC,Cannae,C. CORNELIUS,1485,,
10106,LAT-117,Beginner I - Session B,SP12,150,4/9/2012,6/25/2012,Mon,AC,Rome,O. LIVIUS,1485,,
10107,LAT-102,Beginner II,SP12,150,4/9/2012,6/25/2012,Mon,AC,Cannae,C. CORNELIUS,1485,,
10108,LAT-201,Intermediate Latin I,SP12,150,4/9/2012,6/25/2012,Mon,AC,Alexandria,G. LUCIANUS,1485,,
10109,LAT-301,Advanced Latin I,SP12,150,4/9/2012,6/25/2012,Mon,AC,Carthage,S. TATIUS,1485,,
10111,LAT-106,ABC Conversation,SP12,150,4/3/2012,6/5/2012,Tue,AC,Alexandria,P. AURELIUS,1125,,
10112,LAT-432,Roman History III,SP12,150,4/3/2012,6/5/2012,Tue,AC,Rome,G. LUCIANUS,1350,,
10113,LAT-314,Difficult Latin,SP12,150,4/3/2012,6/12/2012,Tue,AC,Cannae,C. CORNELIUS,,,
10114,LAT-201,Intermediate Latin I,SP12,150,4/3/2012,6/12/2012,Tue,AC,Carthage,S. CAELIUS,,,
10115,LAT-117,Beginner I - Session B,SP12,150,4/3/2012,6/12/2012,Tue,AC,Rome,S. CAELIUS,1485,,
10116,LAT-415,Latin History through Food,SP12,150,4/3/2012,5/22/2012,Tue,CN,Cannae,G. LUCIANUS,,,
10117,LAT-202,Intermediate Latin II,SP12,150,4/3/2012,6/12/2012,Tue,AC,Carthage,C. CORNELIUS,1485,,
10118,LAT-102,Beginner II,SP12,150,4/3/2012,6/12/2012,Tue,AC,Alexandria,P. AURELIUS,1485,,
10119,LAT-121,Latin for You,SP12,150,4/11/2012,6/20/2012,Wed,AC,Antioch,G. LUCIANUS,1485,,
10120,LAT-314,Difficult Latin,SP12,150,4/11/2012,6/20/2012,Wed,AC,Rome,O. LIVIUS,,,
10121,LAT-201,Intermediate Latin I,SP12,150,4/11/2012,6/20/2012,Wed,CN,Cannae,S. TATIUS,,,
10122,LAT-303,Advanced Latin III,SP12,150,4/11/2012,6/20/2012,Wed,AC,Alexandria,L. MARIUS,1485,,
10123,LAT-102,Beginner II,SP12,150,4/11/2012,6/20/2012,Wed,AC,Cannae,O. LIVIUS,1485,,
10124,LAT-202,Intermediate Latin II,SP12,150,4/11/2012,6/20/2012,Wed,CN,Alexandria,S. TATIUS,,,
10125,LAT-106,ABC Conversation,SP12,150,4/5/2012,6/14/2012,Thu,AC,Alexandria,S. CAELIUS,1125,,
10126,LAT-103,Beginner Conversation,SP12,150,4/5/2012,6/21/2012,Thu,AC,Antioch,C. CORNELIUS,1125,,
10127,LAT-302,Advanced Latin II,SP12,150,4/5/2012,6/21/2012,Thu,AC,Cannae,L. SALVIUS,1485,,
10128,LAT-314,Difficult Latin,SP12,150,4/5/2012,6/21/2012,Thu,CN,Rome,O. LIVIUS,,,
10129,LAT-102,Beginner II,SP12,150,4/5/2012,6/21/2012,Thu,CN,Cannae,O. LIVIUS,,,
10130,LAT-117,Beginner I - Session B,SP12,150,4/5/2012,6/21/2012,Thu,CN,Rome,S. CAELIUS,,,
10131,LAT-202,Intermediate Latin II,SP12,150,4/5/2012,6/21/2012,Thu,CN,Alexandria,C. CORNELIUS,,,
10132,LAT-201,Intermediate Latin I,SP12,150,4/5/2012,6/21/2012,Thu,CN,Carthage,L. SALVIUS,,,
10133,LAT-103,Beginner Conversation,SP12,150,4/14/2012,6/23/2012,Sat,CN,Antioch,S. TATIUS,,,
10134,LAT-106,ABC Conversation,SP12,150,4/14/2012,6/23/2012,Sat,AC,Alexandria,P. AURELIUS,1125,,
10135,LAT-304,Advanced Conversation and Grammar,SP12,150,4/14/2012,6/30/2012,Sat,CN,Carthage,L. BALBUS,,,
10137,LAT-478,Bonnus Appetitus,SP12,150,4/14/2012,6/30/2012,Sat,CN,Cannae,N. POMPONIUS,,,
10138,LAT-314,Difficult Latin,SP12,150,4/14/2012,6/30/2012,Sat,AC,Rome,N. POMPONIUS,,,
10139,LAT-102,Beginner II,SP12,150,4/14/2012,6/30/2012,Sat,AC,Rome,P. AURELIUS,1485,,
10140,LAT-117,Beginner I - Session B,SP12,150,4/14/2012,6/30/2012,Sat,CN,Rome,P. AURELIUS,,,
10141,LAT-201,Intermediate Latin I,SP12,150,4/14/2012,6/30/2012,Sat,AC,Carthage,S. TATIUS,1485,,
10142,LAT-416,Bonnus Appetitus 2,SP12,150,4/14/2012,6/30/2012,Sat,AC,Cannae,N. POMPONIUS,1485,,
10143,LAT-455,Singing and Talking,SP12,150,4/14/2012,6/30/2012,Sat,AC,Alexandria,D. ROMILIUS,1350,,
10144,LAT-115,Parent and Me,SP12,150,3/15/2012,5/24/2012,Thu,AC,,N. POMPONIUS,900,,
10145,LAT-117,Beginner I - Session B,SP12,150,4/11/2012,6/20/2012,Wed,AC,Rome,G. LUCIANUS,1485,,
10146,LAT-304,Advanced Conversation and Grammar,SP12,150,4/5/2012,6/21/2012,Thu,AC,Cannae,L. SALVIUS,1485,,
10147,LAT-103,Beginner Conversation,SU12,160,7/9/2012,9/17/2012,Mon,AC,Alexandria,N. POMPONIUS,1125,,
10148,LAT-203,Conversation II,SU12,160,7/9/2012,9/17/2012,Mon,AC,Cannae,S. TATIUS,1125,,
10149,LAT-101,Beginner I,SU12,160,7/9/2012,9/24/2012,Mon,AC,Rome,O. LIVIUS,1485,,
10150,LAT-102,Beginner II,SU12,160,7/9/2012,9/24/2012,Mon,AC,Rome,O. LIVIUS,1485,,
10151,LAT-201,Intermediate Latin I,SU12,160,7/9/2012,9/24/2012,Mon,AC,Alexandria,N. POMPONIUS,1485,,
10152,LAT-302,Advanced Latin II,SU12,160,7/9/2012,9/24/2012,Mon,AC,Cannae,S. TATIUS,1485,,
10153,LAT-106,ABC Conversation,SU12,160,7/17/2012,9/18/2012,Tue,AC,Cannae,S. CAELIUS,1125,,
10154,LAT-101,Beginner I,SU12,160,7/17/2012,9/25/2012,Tue,AC,Rome,G. LUCIANUS,1485,,
10155,LAT-202,Intermediate Latin II,SU12,160,7/17/2012,9/25/2012,Tue,AC,Rome,G. LUCIANUS,1485,,
10156,LAT-102,Beginner II,SU12,160,7/17/2012,9/25/2012,Tue,AC,Cannae,S. CAELIUS,1485,,
10157,LAT-121,Latin for You,SU12,160,7/11/2012,9/19/2012,Wed,AC,Alexandria,G. LUCIANUS,1485,,
10158,LAT-101,Beginner I,SU12,160,7/11/2012,9/19/2012,Wed,AC,Rome,O. LIVIUS,1485,,
10159,LAT-106,ABC Conversation,SU12,160,7/11/2012,9/12/2012,Wed,AC,Cannae,S. CAELIUS,1125,,
10160,LAT-102,Beginner II,SU12,160,7/11/2012,9/19/2012,Wed,AC,Alexandria,G. LUCIANUS,1485,,
10161,LAT-201,Intermediate Latin I,SU12,160,7/11/2012,9/19/2012,Wed,AC,Cannae,S. CAELIUS,1215,G. LUCIANUS,270
10162,LAT-304,Advanced Conversation and Grammar,SU12,160,7/11/2012,9/19/2012,Wed,AC,Rome,O. LIVIUS,1485,,
10163,LAT-106,ABC Conversation,SU12,160,7/14/2012,9/15/2012,Sat,AC,Alexandria,N. POMPONIUS,1125,,
10164,LAT-103,Beginner Conversation,SU12,160,7/14/2012,9/15/2012,Sat,AC,Cannae,O. LIVIUS,1125,,
10165,LAT-203,Conversation II,SU12,160,7/14/2012,9/22/2012,Sat,AC,Rome,G. LUCIANUS,1125,,
10166,LAT-301,Advanced Latin I,SU12,160,7/14/2012,9/22/2012,Sat,CN,Carthage,S. TATIUS,,,
10167,LAT-102,Beginner II,SU12,160,7/14/2012,9/22/2012,Sat,AC,Alexandria,N. POMPONIUS,1485,,
10168,LAT-201,Intermediate Latin I,SU12,160,7/14/2012,9/22/2012,Sat,AC,Cannae,O. LIVIUS,1485,,
10169,LAT-202,Intermediate Latin II,SU12,160,7/14/2012,9/22/2012,Sat,CN,Carthage,S. TATIUS,,,
10170,LAT-101,Beginner I,SU12,160,7/14/2012,9/22/2012,Sat,AC,Rome,G. LUCIANUS,1485,,
10171,LAT-303,Advanced Latin III,SU12,160,7/11/2012,9/19/2012,Wed,AC,Carthage,L. MARIUS,1485,,
10172,LAT-103,Beginner Conversation,FA12,170,10/1/2012,12/10/2012,Mon,AC,Alexandria,O. LIVIUS,1125,,
10173,LAT-203,Conversation II,FA12,170,10/1/2012,12/10/2012,Mon,AC,Antioch,G. LUCIANUS,1125,,
10174,LAT-101,Beginner I,FA12,170,10/1/2012,12/17/2012,Mon,AC,Rome,N. AFRICANUS,1485,,
10176,LAT-402,Latin Literature,FA12,170,10/1/2012,12/17/2012,Mon,AC,Cannae,C. CORNELIUS,1080,,
10177,LAT-102,Beginner II,FA12,170,10/1/2012,12/17/2012,Mon,AC,Cannae,N. AFRICANUS,1485,,
10178,LAT-202,Intermediate Latin II,FA12,170,10/1/2012,12/17/2012,Mon,AC,Antioch,C. CORNELIUS,1485,,
10179,LAT-106,ABC Conversation,FA12,170,10/9/2012,12/11/2012,Tue,AC,Alexandria,P. AURELIUS,1125,,
10180,LAT-431,Roman History II,FA12,170,10/9/2012,12/11/2012,Tue,AC,Rome,G. LUCIANUS,1485,,
10181,LAT-102,Beginner II,FA12,170,10/9/2012,12/18/2012,Tue,AC,Cannae,S. CAELIUS,1485,,
10182,LAT-201,Intermediate Latin I,FA12,170,10/9/2012,12/18/2012,Tue,AC,Antioch,F. JUNIUS,1485,,
10183,LAT-302,Advanced Latin II,FA12,170,10/9/2012,12/18/2012,Tue,CN,Alexandria,G. LUCIANUS,,,
10184,LAT-301,Advanced Latin I,FA12,170,10/9/2012,12/18/2012,Tue,AC,Carthage,P. AURELIUS,1485,,
10185,LAT-202,Intermediate Latin II,FA12,170,10/9/2012,12/18/2012,Tue,AC,Cannae,F. JUNIUS,1485,,
10186,LAT-101,Beginner I,FA12,170,10/9/2012,12/18/2012,Tue,AC,Rome,S. CAELIUS,1485,,
10187,LAT-101,Beginner I,FA12,170,10/3/2012,12/19/2012,Wed,AC,Rome,J. VIBIANUS,1485,,
10188,LAT-103,Beginner Conversation,FA12,170,10/3/2012,12/12/2012,Wed,AC,Alexandria,O. LIVIUS,1125,,
10189,LAT-121,Latin for You,FA12,170,10/3/2012,12/19/2012,Wed,AC,Cannae,C. CORNELIUS,1485,,
10190,LAT-302,Advanced Latin II,FA12,170,10/3/2012,12/19/2012,Wed,CN,Carthage,L. MARIUS,,,
10191,LAT-303,Advanced Latin III,FA12,170,10/3/2012,12/19/2012,Wed,AC,Carthage,L. SALVIUS,1485,,
10192,LAT-106,ABC Conversation,FA12,170,10/3/2012,12/12/2012,Wed,AC,Alexandria,J. VIBIANUS,1125,,
10193,LAT-304,Advanced Conversation and Grammar,FA12,170,10/3/2012,12/19/2012,Wed,AC,Cannae,L. SALVIUS,1485,,
10194,LAT-122,Latin Express I,FA12,170,10/1/2012,12/19/2012,Mon/Wed,AC,Rome,O. LIVIUS,1980,,
10195,LAT-106,ABC Conversation,FA12,170,10/6/2012,12/15/2012,Sat,AC,Cannae,P. AURELIUS,1125,,
10196,LAT-103,Beginner Conversation,FA12,170,10/6/2012,12/15/2012,Sat,CN,Antioch,N. POMPONIUS,1125,,
10197,LAT-203,Conversation II,FA12,170,10/6/2012,12/15/2012,Sat,AC,Alexandria,G. LUCIANUS,1125,,
10198,LAT-101,Beginner I,FA12,170,10/6/2012,12/22/2012,Sat,AC,Rome,M. AETIUS,1485,,
10199,LAT-102,Beginner II,FA12,170,10/6/2012,12/22/2012,Sat,AC,Cannae,G. LUCIANUS,1350,S. CAELIUS,135
10200,LAT-301,Advanced Latin I,FA12,170,10/6/2012,12/22/2012,Sat,CN,Carthage,M. AETIUS,,,
10201,LAT-201,Intermediate Latin I,FA12,170,10/6/2012,12/22/2012,Sat,AC,Rome,P. AURELIUS,1485,,
10202,LAT-478,Bonnus Appetitus,FA12,170,10/6/2012,12/22/2012,Sat,AC,Antioch,N. POMPONIUS,1485,,
10203,LAT-455,Singing and Talking,FA12,170,10/6/2012,12/22/2012,Sat,AC,Alexandria,D. ROMILIUS,1350,,
10204,LAT-115,Parent and Me,FA12,170,10/3/2012,12/12/2012,Wed,AC,,N. POMPONIUS,900,,
10205,LAT-116,"Learning Latin through Art, Games and Music",FA12,170,10/3/2012,12/12/2012,Wed,AC,,N. POMPONIUS,1800,,
10206,LAT-103,Beginner Conversation,WI13,180,1/7/2013,3/25/2013,Mon,AC,Alexandria,O. LIVIUS,1125,,
10207,LAT-106,ABC Conversation,WI13,180,1/7/2013,3/25/2013,Mon,CN,Antioch,G. LUCIANUS,,,
10208,LAT-101,Beginner I,WI13,180,1/7/2013,4/1/2013,Mon,AC,Rome,P. AURELIUS,1485,,
10209,LAT-402,Latin Literature,WI13,180,1/14/2013,3/18/2013,Mon,AC,Cannae,C. CORNELIUS,1080,,
10210,LAT-102,Beginner II,WI13,180,1/7/2012,4/1/2012,Mon,AC,Cannae,G. LUCIANUS,1485,,
10211,LAT-201,Intermediate Latin I,WI13,180,1/7/2013,4/1/2013,Mon,AC,Rome,P. AURELIUS,1485,,
10212,LAT-457,Coffee with Cicero,WI13,180,1/7/2013,4/1/2013,Mon,AC,Carthage,G. TATIUS,1485,,
10213,LAT-106,ABC Conversation,WI13,180,1/15/2013,3/19/2013,Tue,AC,Alexandria,P. AURELIUS,1125,,
10214,LAT-203,Conversation II,WI13,180,1/15/2013,3/19/2013,Tue,AC,Antioch,S. CAELIUS,1125,,
10215,LAT-102,Beginner II,WI13,180,1/15/2013,3/26/2013,Tue,AC,Rome,C. CORNELIUS,1485,,
10216,LAT-201,Intermediate Latin I,WI13,180,1/15/2013,3/26/2013,Tue,AC,Cannae,F. JUNIUS,1485,,
10217,LAT-302,Advanced Latin II,WI13,180,1/15/2013,3/26/2013,Tue,AC,Carthage,S. CAELIUS,1485,,
10218,LAT-301,Advanced Latin I,WI13,180,1/15/2013,3/26/2013,Tue,AC,Alexandria,C. CORNELIUS,1350,N. POMPONIUS,135
10219,LAT-202,Intermediate Latin II,WI13,180,1/15/2013,3/26/2013,Tue,AC,Cannae,F. JUNIUS,1485,,
10220,LAT-101,Beginner I,WI13,180,1/15/2013,3/26/2013,Tue,AC,Rome,P. AURELIUS,1485,,
10221,LAT-101,Beginner I,WI13,180,1/16/2013,3/27/2013,Wed,AC,Rome,C. CORNELIUS,1485,,
10222,LAT-103,Beginner Conversation,WI13,180,1/9/2013,3/13/2013,Wed,AC,Alexandria,O. LIVIUS,1125,,
10223,LAT-121,Latin for You,WI13,180,1/9/2013,3/20/2013,Wed,AC,Antioch,G. LUCIANUS,1485,,
10224,LAT-303,Advanced Latin III,WI13,180,1/9/2013,3/20/2013,Wed,CN,Carthage,J. VIBIANUS,,,
10225,LAT-304,Advanced Conversation and Grammar,WI13,180,1/16/2013,3/27/2013,Wed,AC,Carthage,C. CORNELIUS,,,
10226,LAT-102,Beginner II,WI13,180,1/9/2013,3/20/2013,Wed,CN,Cannae,J. VIBIANUS,,,
10227,LAT-431,Roman History II,WI13,180,1/9/2013,3/20/2013,Wed,AC,Rome,G. LUCIANUS,1485,,
10228,LAT-122,Latin Express I,WI13,180,1/7/2013,4/1/2013,Mon/Wed,AC,Cannae,,,,
